#yymmdd    hhmmss   name          ra        dec       fwhm a/b  theta  sky   nstar ccdtemp tempam  encra     
2014-03-23 18:59:28 20140323_0025.fits(obstype=survey 181.733815 67.977812 3.33 1.05 -14.86 1654.97 32 275.714 4.900 -75.190942
2014-03-23 18:59:32 20140323_0026.fits(obstype=survey 181.733815 67.977812 3.41 1.05 -24.81 1608.85 32 275.714 4.900 -75.190942
2014-03-23 18:59:37 20140323_0027.fits(obstype=survey 181.733815 67.977812 3.37 1.05 -13.93 1569.7 33 275.714 4.900 -75.190942
2014-03-23 18:59:41 20140323_0028.fits(obstype=survey 181.733815 67.977812 4.37 1.12 -23.51 1523.4 33 275.714 4.900 -75.190942
2014-03-23 18:59:45 20140323_0029.fits(obstype=survey 181.733815 67.977812 3.55 1.06 -84.29 1481.51 32 275.714 4.900 -75.190942
2014-03-23 18:59:50 20140323_0030.fits(obstype=survey 181.733815 67.977812 3.38 1.07 -13.47 1462.21 33 275.714 4.900 -75.190942
2014-03-23 18:59:54 20140323_0031.fits(obstype=survey 181.733815 67.977812 3.34 1.10 -24.88 1411.29 30 275.714 4.900 -75.190942
2014-03-23 18:59:58 20140323_0032.fits(obstype=survey 181.733815 67.977812 3.25 1.17 18.25 1380.03 33 275.714 4.900 -75.190942
2014-03-23 19:00:03 20140323_0033.fits(obstype=survey 181.733815 67.977812 4.13 1.07 28.49 1342.67 32 275.714 4.900 -75.190942
2014-03-23 19:00:07 20140323_0034.fits(obstype=survey 181.733815 67.977812 3.34 1.14 13.24 1312.19 33 275.714 4.900 -75.190942
2014-03-23 19:00:11 20140323_0035.fits(obstype=survey 181.733815 67.977812 4.19 1.06 25.27 1273.33 33 275.714 4.900 -75.190942
2014-03-23 19:00:16 20140323_0036.fits(obstype=survey 181.733815 67.977812 4.00 1.03 -24.55 1244.37 34 275.714 4.900 -75.190942
2014-03-23 19:00:20 20140323_0037.fits(obstype=survey 181.733815 67.977812 3.40 1.15 35.25 1213 33 275.714 4.900 -75.190942
2014-03-23 19:00:25 20140323_0038.fits(obstype=survey 181.733815 67.977812 3.31 1.08 -23.85 1190.97 34 275.714 4.900 -75.190942
2014-03-23 19:00:29 20140323_0039.fits(obstype=survey 181.733815 67.977812 3.40 1.06 34.53 1161.4 34 275.714 4.900 -75.190942
2014-03-23 19:00:34 20140323_0040.fits(obstype=survey 181.733815 67.977812 3.24 1.03 35.02 1142.47 33 275.714 4.900 -75.190942
2014-03-23 19:00:38 20140323_0041.fits(obstype=survey 181.733815 67.977812 3.30 1.05 40.05 1109.89 33 275.714 4.900 -75.190942
2014-03-23 19:00:43 20140323_0042.fits(obstype=survey 181.733815 67.977812 3.27 1.06 16.76 1090.38 34 275.714 4.900 -75.190942
2014-03-23 19:00:47 20140323_0043.fits(obstype=survey 181.733815 67.977812 3.43 1.10 -13.21 1065.97 33 275.714 4.900 -75.190942
2014-03-23 19:00:52 20140323_0044.fits(obstype=survey 181.733815 67.977812 3.51 1.04 28.23 1043.57 34 275.714 4.900 -75.190942
2014-03-23 19:00:56 20140323_0045.fits(obstype=survey 181.733815 67.977812 3.89 1.02 -42.05 1020.41 34 275.714 4.900 -75.190942
2014-03-23 19:01:01 20140323_0046.fits(obstype=survey 181.733815 67.977812 3.65 1.10 -4.69 996.23 32 275.714 4.900 -75.190942
2014-03-23 19:01:05 20140323_0047.fits(obstype=survey 181.733815 67.977812 2.99 1.18 -3.40 984.649 33 275.714 4.900 -75.190942
2014-03-23 19:01:10 20140323_0048.fits(obstype=survey 181.733815 67.977812 2.98 1.04 6.08 956.353 32 275.714 4.900 -75.190942
2014-03-23 19:05:56 20140323_0049.fits(obstype=survey 185.733295 67.977049 3.34 1.10 47.29 859.976 38 273.340 4.400 -77.564062
2014-03-23 19:06:00 20140323_0050.fits(obstype=survey 185.733295 67.977049 3.11 1.07 23.78 882.235 36 273.340 4.400 -77.564062
2014-03-23 19:06:05 20140323_0051.fits(obstype=survey 185.733295 67.977049 3.21 1.06 55.49 827.385 39 273.340 4.400 -77.564062
2014-03-23 19:06:09 20140323_0052.fits(obstype=survey 185.733295 67.977049 3.11 1.04 26.93 853.142 40 273.340 4.400 -77.564062
2014-03-23 19:06:14 20140323_0053.fits(obstype=survey 185.733295 67.977049 3.36 1.06 1.44 799.749 39 273.340 4.400 -77.564062
2014-03-23 19:06:18 20140323_0054.fits(obstype=survey 185.733295 67.977049 3.19 1.08 6.10 788.005 37 273.340 4.400 -77.564062
2014-03-23 19:06:22 20140323_0055.fits(obstype=survey 185.733295 67.977049 3.59 1.11 -64.24 773.654 36 273.340 4.400 -77.564062
2014-03-23 19:06:27 20140323_0056.fits(obstype=survey 185.733295 67.977049 3.40 1.04 -64.54 770.916 38 273.340 4.400 -77.564062
2014-03-23 19:06:31 20140323_0057.fits(obstype=survey 185.733295 67.977049 3.59 1.06 -4.48 750.873 38 273.340 4.400 -77.564062
2014-03-23 19:06:35 20140323_0058.fits(obstype=survey 185.733295 67.977049 3.88 1.02 3.51 692.381 36 273.340 4.400 -77.564062
2014-03-23 19:06:40 20140323_0059.fits(obstype=survey 185.733295 67.977049 3.34 1.06 -14.40 727.72 40 273.340 4.400 -77.564062
2014-03-23 19:06:44 20140323_0060.fits(obstype=survey 185.733295 67.977049 3.98 1.07 -7.04 767.73 40 273.340 4.400 -77.564062
2014-03-23 19:06:49 20140323_0061.fits(obstype=survey 185.733295 67.977049 3.35 1.05 33.07 713.464 39 273.340 4.400 -77.564062
2014-03-23 19:06:53 20140323_0062.fits(obstype=survey 185.733295 67.977049 3.13 1.12 -6.99 705.865 41 273.340 4.400 -77.564062
2014-03-23 19:06:58 20140323_0063.fits(obstype=survey 185.733295 67.977049 3.38 1.08 -53.09 694.328 40 273.340 4.400 -77.564062
2014-03-23 19:07:02 20140323_0064.fits(obstype=survey 185.733295 67.977049 3.38 1.08 38.77 726.645 40 273.340 4.400 -77.564062
2014-03-23 19:07:07 20140323_0065.fits(obstype=survey 185.733295 67.977049 3.34 1.04 25.88 701.278 38 273.340 4.400 -77.564062
2014-03-23 19:07:11 20140323_0066.fits(obstype=survey 185.733295 67.977049 3.39 1.06 7.20 708.299 40 273.340 4.400 -77.564062
2014-03-23 19:07:15 20140323_0067.fits(obstype=survey 185.733295 67.977049 3.11 1.05 31.81 683.381 38 273.340 4.400 -77.564062
2014-03-23 19:07:20 20140323_0068.fits(obstype=survey 185.733295 67.977049 2.98 1.05 -13.21 649.265 40 273.340 4.400 -77.564062
2014-03-23 19:07:24 20140323_0069.fits(obstype=survey 185.733295 67.977049 3.37 1.04 -12.86 631.059 40 273.340 4.400 -77.564062
2014-03-23 19:07:30 20140323_0070.fits(obstype=survey 185.733295 67.977049 3.39 1.13 -14.17 631.298 38 273.340 4.400 -77.564062
2014-03-23 19:07:35 20140323_0071.fits(obstype=survey 185.733295 67.977049 3.23 1.04 8.35 571.015 40 273.340 4.400 -77.564062
2014-03-23 19:07:40 20140323_0072.fits(obstype=survey 185.733295 67.977049 3.17 1.07 13.62 608.374 39 273.340 4.400 -77.564062
2014-03-23 19:12:22 20140323_0073.fits(obstype=survey 181.734269 67.978710 3.37 1.05 -4.86 582.466 33 272.707 3.900 -71.961642
2014-03-23 19:12:26 20140323_0074.fits(obstype=survey 181.734269 67.978710 3.55 1.03 5.15 565.678 35 272.707 3.900 -71.961642
2014-03-23 19:12:31 20140323_0075.fits(obstype=survey 181.734269 67.978710 3.64 1.03 15.24 554.445 35 272.707 3.900 -71.961642
2014-03-23 19:12:35 20140323_0076.fits(obstype=survey 181.734269 67.978710 3.99 1.08 -34.08 549.197 36 272.707 3.900 -71.961642
2014-03-23 19:12:40 20140323_0077.fits(obstype=survey 181.734269 67.978710 3.76 1.09 -12.48 541.605 37 272.707 3.900 -71.961642
2014-03-23 19:12:44 20140323_0078.fits(obstype=survey 181.734269 67.978710 3.18 1.03 32.48 535.272 34 272.707 3.900 -71.961642
2014-03-23 19:12:48 20140323_0079.fits(obstype=survey 181.734269 67.978710 3.75 1.08 -73.86 531.49 35 272.707 3.900 -71.961642
2014-03-23 19:12:53 20140323_0080.fits(obstype=survey 181.734269 67.978710 3.77 1.04 -7.25 525.976 37 272.707 3.900 -71.961642
2014-03-23 19:12:57 20140323_0081.fits(obstype=survey 181.734269 67.978710 3.74 1.07 3.79 520.12 35 272.707 3.900 -71.961642
2014-03-23 19:13:01 20140323_0082.fits(obstype=survey 181.734269 67.978710 3.10 1.05 -3.39 514.125 35 272.707 3.900 -71.961642
2014-03-23 19:13:06 20140323_0083.fits(obstype=survey 181.734269 67.978710 3.16 1.09 3.67 509.873 36 272.707 3.900 -71.961642
2014-03-23 19:13:10 20140323_0084.fits(obstype=survey 181.734269 67.978710 3.07 1.04 -34.37 504.158 35 272.707 3.900 -71.961642
2014-03-23 19:13:15 20140323_0085.fits(obstype=survey 181.734269 67.978710 3.54 1.02 -12.66 496.68 36 272.707 3.900 -71.961642
2014-03-23 19:13:19 20140323_0086.fits(obstype=survey 181.734269 67.978710 3.19 1.06 45.98 494.707 35 272.707 3.900 -71.961642
2014-03-23 19:13:24 20140323_0087.fits(obstype=survey 181.734269 67.978710 3.18 1.13 20.65 486.427 36 272.707 3.900 -71.961642
2014-03-23 19:13:28 20140323_0088.fits(obstype=survey 181.734269 67.978710 2.96 1.03 -34.88 482.467 38 272.707 3.900 -71.961642
2014-03-23 19:13:33 20140323_0089.fits(obstype=survey 181.734269 67.978710 3.13 1.06 -9.45 476.928 34 272.707 3.900 -71.961642
2014-03-23 19:13:37 20140323_0090.fits(obstype=survey 181.734269 67.978710 2.98 1.04 0.49 475.514 36 272.707 3.900 -71.961642
2014-03-23 19:13:41 20140323_0091.fits(obstype=survey 181.734269 67.978710 3.17 1.03 -15.06 471.594 36 272.707 3.900 -71.961642
2014-03-23 19:13:46 20140323_0092.fits(obstype=survey 181.734269 67.978710 2.96 1.09 22.26 468.618 37 272.707 3.900 -71.961642
2014-03-23 19:13:50 20140323_0093.fits(obstype=survey 181.734269 67.978710 3.12 1.11 35.40 461.834 35 272.707 3.900 -71.961642
2014-03-23 19:13:55 20140323_0094.fits(obstype=survey 181.734269 67.978710 3.03 1.08 -23.93 456.482 35 272.707 3.900 -71.961642
2014-03-23 19:13:59 20140323_0095.fits(obstype=survey 181.734269 67.978710 3.09 1.06 -27.27 456.825 37 272.707 3.900 -71.961642
2014-03-23 19:14:03 20140323_0096.fits(obstype=survey 181.734269 67.978710 3.07 1.03 29.90 455.17 36 272.707 3.900 -71.961642
2014-03-23 19:18:48 20140323_0097.fits(obstype=survey 185.733714 67.977857 3.49 1.07 18.14 438.159 42 272.132 4.000 -74.329864
2014-03-23 19:18:52 20140323_0098.fits(obstype=survey 185.733714 67.977857 3.36 1.03 -4.05 433.186 43 272.132 4.000 -74.329864
2014-03-23 19:18:57 20140323_0099.fits(obstype=survey 185.733714 67.977857 3.16 1.12 27.88 436.683 45 272.132 4.000 -74.329864
2014-03-23 19:19:01 20140323_0100.fits(obstype=survey 185.733714 67.977857 3.95 1.06 -24.92 434.04 41 272.132 4.000 -74.329864
2014-03-23 19:19:06 20140323_0101.fits(obstype=survey 185.733714 67.977857 3.55 1.05 36.68 426.172 42 272.132 4.000 -74.329864
2014-03-23 19:19:10 20140323_0102.fits(obstype=survey 185.733714 67.977857 3.55 1.02 54.44 418.512 45 272.132 4.000 -74.329864
2014-03-23 19:19:14 20140323_0103.fits(obstype=survey 185.733714 67.977857 3.46 1.06 5.31 428.525 43 272.132 4.000 -74.329864
2014-03-23 19:19:18 20140323_0104.fits(obstype=survey 185.733714 67.977857 3.55 1.10 -63.41 415.551 43 272.132 4.000 -74.329864
2014-03-23 19:19:23 20140323_0105.fits(obstype=survey 185.733714 67.977857 3.37 1.06 -54.51 445.673 43 272.132 4.000 -74.329864
2014-03-23 19:19:27 20140323_0106.fits(obstype=survey 185.733714 67.977857 3.96 1.04 -0.01 415.016 43 272.132 4.000 -74.329864
2014-03-23 19:19:31 20140323_0107.fits(obstype=survey 185.733714 67.977857 3.34 1.03 -34.13 420.22 44 272.132 4.000 -74.329864
2014-03-23 19:19:36 20140323_0108.fits(obstype=survey 185.733714 67.977857 3.55 1.06 16.68 405.493 46 272.132 4.000 -74.329864
2014-03-23 19:19:40 20140323_0109.fits(obstype=survey 185.733714 67.977857 3.84 1.07 28.87 407.254 42 272.132 4.000 -74.329864
2014-03-23 19:19:44 20140323_0110.fits(obstype=survey 185.733714 67.977857 3.73 1.06 -24.82 404.945 45 272.132 4.000 -74.329864
2014-03-23 19:19:48 20140323_0111.fits(obstype=survey 185.733714 67.977857 3.36 1.14 48.34 401.638 45 272.132 4.000 -74.329864
2014-03-23 19:19:53 20140323_0112.fits(obstype=survey 185.733714 67.977857 3.57 1.09 34.81 397.88 45 272.132 4.000 -74.329864
2014-03-23 19:19:57 20140323_0113.fits(obstype=survey 185.733714 67.977857 3.33 1.07 -22.80 403.196 46 272.132 4.000 -74.329864
2014-03-23 19:20:03 20140323_0114.fits(obstype=survey 185.733714 67.977857 3.32 1.09 -74.60 393.08 44 272.132 4.000 -74.329864
2014-03-23 19:20:07 20140323_0115.fits(obstype=survey 185.733714 67.977857 3.59 1.03 -18.45 391.42 46 272.132 4.000 -74.329864
2014-03-23 19:20:12 20140323_0116.fits(obstype=survey 185.733714 67.977857 3.44 1.09 18.80 390.997 46 272.132 4.000 -74.329864
2014-03-23 19:20:17 20140323_0117.fits(obstype=survey 185.733714 67.977857 3.34 1.05 -33.89 380.009 44 272.132 4.000 -74.329864
2014-03-23 19:20:21 20140323_0118.fits(obstype=survey 185.733714 67.977857 3.17 1.06 54.20 380.335 46 272.132 4.000 -74.329864
2014-03-23 19:20:25 20140323_0119.fits(obstype=survey 185.733714 67.977857 3.17 1.02 15.89 379.71 46 272.132 4.000 -74.329864
2014-03-23 19:20:30 20140323_0120.fits(obstype=survey 185.733714 67.977857 2.90 1.06 44.71 389.428 46 272.132 4.000 -74.329864
2014-03-23 19:25:15 20140323_0121.fits(obstype=survey 181.734145 67.979509 3.73 1.03 56.06 359.934 40 271.404 3.300 -68.726892
2014-03-23 19:25:20 20140323_0122.fits(obstype=survey 181.734145 67.979509 3.55 1.08 18.51 358.915 39 271.404 3.300 -68.726892
2014-03-23 19:25:24 20140323_0123.fits(obstype=survey 181.734145 67.979509 3.33 1.08 -14.55 357.55 37 271.404 3.300 -68.726892
2014-03-23 19:25:28 20140323_0124.fits(obstype=survey 181.734145 67.979509 3.38 1.05 28.82 355.994 38 271.404 3.300 -68.726892
2014-03-23 19:25:33 20140323_0125.fits(obstype=survey 181.734145 67.979509 3.42 1.12 -40.75 352.432 39 271.404 3.300 -68.726892
2014-03-23 19:25:37 20140323_0126.fits(obstype=survey 181.734145 67.979509 3.57 1.06 24.13 352.675 40 271.404 3.300 -68.726892
2014-03-23 19:25:41 20140323_0127.fits(obstype=survey 181.734145 67.979509 3.54 1.08 -32.21 351.001 39 271.404 3.300 -68.726892
2014-03-23 19:25:45 20140323_0128.fits(obstype=survey 181.734145 67.979509 3.19 1.05 -14.16 351.944 41 271.404 3.300 -68.726892
2014-03-23 19:25:50 20140323_0129.fits(obstype=survey 181.734145 67.979509 3.19 1.04 -84.44 347.86 40 271.404 3.300 -68.726892
2014-03-23 19:25:54 20140323_0130.fits(obstype=survey 181.734145 67.979509 2.98 1.08 24.35 345.217 41 271.404 3.300 -68.726892
2014-03-23 19:25:59 20140323_0131.fits(obstype=survey 181.734145 67.979509 3.37 1.06 45.21 344.559 42 271.404 3.300 -68.726892
2014-03-23 19:26:03 20140323_0132.fits(obstype=survey 181.734145 67.979509 3.18 1.07 53.13 343.444 42 271.404 3.300 -68.726892
2014-03-23 19:26:07 20140323_0133.fits(obstype=survey 181.734145 67.979509 3.39 1.06 16.89 341.121 41 271.404 3.300 -68.726892
2014-03-23 19:26:12 20140323_0134.fits(obstype=survey 181.734145 67.979509 3.46 1.03 47.19 340.206 41 271.404 3.300 -68.726892
2014-03-23 19:26:16 20140323_0135.fits(obstype=survey 181.734145 67.979509 3.11 1.06 22.15 339.416 41 271.404 3.300 -68.726892
2014-03-23 19:26:20 20140323_0136.fits(obstype=survey 181.734145 67.979509 3.14 1.08 35.02 337.188 42 271.404 3.300 -68.726892
2014-03-23 19:26:25 20140323_0137.fits(obstype=survey 181.734145 67.979509 3.36 1.09 -18.59 337.419 41 271.404 3.300 -68.726892
2014-03-23 19:26:29 20140323_0138.fits(obstype=survey 181.734145 67.979509 3.37 1.06 -52.72 365.651 43 271.404 3.300 -68.726892
2014-03-23 19:26:34 20140323_0139.fits(obstype=survey 181.734145 67.979509 3.36 1.02 27.95 364.07 42 271.404 3.300 -68.726892
2014-03-23 19:26:38 20140323_0140.fits(obstype=survey 181.734145 67.979509 3.35 1.03 27.58 333.338 42 271.404 3.300 -68.726892
2014-03-23 19:26:43 20140323_0141.fits(obstype=survey 181.734145 67.979509 3.35 1.04 28.10 332.027 43 271.404 3.300 -68.726892
2014-03-23 19:26:48 20140323_0142.fits(obstype=survey 181.734145 67.979509 3.52 1.09 -18.77 330.988 40 271.404 3.300 -68.726892
2014-03-23 19:26:53 20140323_0143.fits(obstype=survey 181.734145 67.979509 3.52 1.06 26.66 330.214 41 271.404 3.300 -68.726892
2014-03-23 19:26:57 20140323_0144.fits(obstype=survey 181.734145 67.979509 3.58 1.06 35.85 329.225 41 271.404 3.300 -68.726892
2014-03-23 19:31:40 20140323_0145.fits(obstype=survey 185.734133 67.978669 3.18 1.05 13.88 323.277 49 271.481 2.900 -71.104435
2014-03-23 19:31:45 20140323_0146.fits(obstype=survey 185.734133 67.978669 3.19 1.05 -82.28 321.911 48 271.481 2.900 -71.104435
2014-03-23 19:31:49 20140323_0147.fits(obstype=survey 185.734133 67.978669 3.38 1.04 68.56 318.165 49 271.481 2.900 -71.104435
2014-03-23 19:31:53 20140323_0148.fits(obstype=survey 185.734133 67.978669 3.37 1.07 -42.85 320.55 48 271.481 2.900 -71.104435
2014-03-23 19:31:58 20140323_0149.fits(obstype=survey 185.734133 67.978669 3.39 1.06 -14.37 330.931 50 271.481 2.900 -71.104435
2014-03-23 19:32:02 20140323_0150.fits(obstype=survey 185.734133 67.978669 3.41 1.10 26.39 318.305 48 271.481 2.900 -71.104435
2014-03-23 19:32:06 20140323_0151.fits(obstype=survey 185.734133 67.978669 3.26 1.09 -53.76 328.574 49 271.481 2.900 -71.104435
2014-03-23 19:32:11 20140323_0152.fits(obstype=survey 185.734133 67.978669 3.58 1.09 80.54 316.728 47 271.481 2.900 -71.104435
2014-03-23 19:32:15 20140323_0153.fits(obstype=survey 185.734133 67.978669 3.39 1.03 78.43 317.306 49 271.481 2.900 -71.104435
2014-03-23 19:32:20 20140323_0154.fits(obstype=survey 185.734133 67.978669 3.59 1.06 -61.35 316.689 48 271.481 2.900 -71.104435
2014-03-23 19:32:24 20140323_0155.fits(obstype=survey 185.734133 67.978669 4.60 1.20 -72.73 309.312 42 271.481 2.900 -71.104435
2014-03-23 19:32:28 20140323_0156.fits(obstype=survey 185.734133 67.978669 3.62 1.05 -51.73 324.079 48 271.481 2.900 -71.104435
2014-03-23 19:32:33 20140323_0157.fits(obstype=survey 185.734133 67.978669 3.49 1.03 -6.18 311.987 49 271.481 2.900 -71.104435
2014-03-23 19:32:37 20140323_0158.fits(obstype=survey 185.734133 67.978669 3.19 1.08 15.60 311.189 50 271.481 2.900 -71.104435
2014-03-23 19:32:42 20140323_0159.fits(obstype=survey 185.734133 67.978669 4.01 1.02 -23.04 307.623 48 271.481 2.900 -71.104435
2014-03-23 19:32:46 20140323_0160.fits(obstype=survey 185.734133 67.978669 3.22 1.05 -0.85 309.036 50 271.481 2.900 -71.104435
2014-03-23 19:32:51 20140323_0161.fits(obstype=survey 185.734133 67.978669 3.13 1.11 -8.04 309.276 50 271.481 2.900 -71.104435
2014-03-23 19:32:55 20140323_0162.fits(obstype=survey 185.734133 67.978669 3.58 1.09 -18.72 308.596 49 271.481 2.900 -71.104435
2014-03-23 19:33:00 20140323_0163.fits(obstype=survey 185.734133 67.978669 3.44 1.05 9.79 308.022 49 271.481 2.900 -71.104435
2014-03-23 19:33:04 20140323_0164.fits(obstype=survey 185.734133 67.978669 3.41 1.08 55.67 306.943 49 271.481 2.900 -71.104435
2014-03-23 19:33:09 20140323_0165.fits(obstype=survey 185.734133 67.978669 3.38 1.02 -84.85 301.619 51 271.481 2.900 -71.104435
2014-03-23 19:33:15 20140323_0166.fits(obstype=survey 185.734133 67.978669 3.44 1.12 -3.22 305.245 51 271.481 2.900 -71.104435
2014-03-23 19:33:19 20140323_0167.fits(obstype=survey 185.734133 67.978669 3.33 1.05 8.21 297.437 48 271.481 2.900 -71.104435
2014-03-23 19:33:24 20140323_0168.fits(obstype=survey 185.734133 67.978669 3.46 1.02 -82.87 302.701 51 271.481 2.900 -71.104435
2014-03-23 19:38:08 20140323_0169.fits(obstype=survey 181.733667 67.980400 3.60 1.05 65.84 293.287 43 271.711 2.500 -65.501309
2014-03-23 19:38:13 20140323_0170.fits(obstype=survey 181.733667 67.980400 3.39 1.04 -13.32 292.804 46 271.711 2.500 -65.501309
2014-03-23 19:38:17 20140323_0171.fits(obstype=survey 181.733667 67.980400 3.11 1.08 -1.92 295.962 45 271.711 2.500 -65.501309
2014-03-23 19:38:21 20140323_0172.fits(obstype=survey 181.733667 67.980400 3.10 1.10 -74.86 291.298 43 271.711 2.500 -65.501309
2014-03-23 19:38:26 20140323_0173.fits(obstype=survey 181.733667 67.980400 3.45 1.07 -25.69 290.945 43 271.711 2.500 -65.501309
2014-03-23 19:38:30 20140323_0174.fits(obstype=survey 181.733667 67.980400 3.27 1.05 -0.89 288.898 44 271.711 2.500 -65.501309
2014-03-23 19:38:34 20140323_0175.fits(obstype=survey 181.733667 67.980400 3.49 1.06 14.77 291.296 42 271.711 2.500 -65.501309
2014-03-23 19:38:39 20140323_0176.fits(obstype=survey 181.733667 67.980400 3.55 1.06 -84.39 288.508 43 271.711 2.500 -65.501309
2014-03-23 19:38:43 20140323_0177.fits(obstype=survey 181.733667 67.980400 3.45 1.04 -83.21 287.852 42 271.711 2.500 -65.501309
2014-03-23 19:38:47 20140323_0178.fits(obstype=survey 181.733667 67.980400 3.45 1.09 -9.54 287.721 44 271.711 2.500 -65.501309
2014-03-23 19:38:52 20140323_0179.fits(obstype=survey 181.733667 67.980400 3.80 1.06 18.21 287.296 45 271.711 2.500 -65.501309
2014-03-23 19:38:56 20140323_0180.fits(obstype=survey 181.733667 67.980400 3.18 1.05 2.87 287.7 44 271.711 2.500 -65.501309
2014-03-23 19:39:01 20140323_0181.fits(obstype=survey 181.733667 67.980400 3.61 1.04 -35.67 285.208 42 271.711 2.500 -65.501309
2014-03-23 19:39:05 20140323_0182.fits(obstype=survey 181.733667 67.980400 3.56 1.09 5.59 285.807 43 271.711 2.500 -65.501309
2014-03-23 19:39:09 20140323_0183.fits(obstype=survey 181.733667 67.980400 3.59 1.07 -83.67 284.564 46 271.711 2.500 -65.501309
2014-03-23 19:39:14 20140323_0184.fits(obstype=survey 181.733667 67.980400 3.60 1.08 6.26 313.676 44 271.711 2.500 -65.501309
2014-03-23 19:39:18 20140323_0185.fits(obstype=survey 181.733667 67.980400 3.37 1.05 -82.63 283.368 46 271.711 2.500 -65.501309
2014-03-23 19:39:23 20140323_0186.fits(obstype=survey 181.733667 67.980400 3.33 1.06 -53.08 284.937 45 271.711 2.500 -65.501309
2014-03-23 19:39:27 20140323_0187.fits(obstype=survey 181.733667 67.980400 3.60 1.02 37.74 282.664 41 271.711 2.500 -65.501309
2014-03-23 19:39:32 20140323_0188.fits(obstype=survey 181.733667 67.980400 3.32 1.03 48.74 281.789 41 271.711 2.500 -65.501309
2014-03-23 19:39:36 20140323_0189.fits(obstype=survey 181.733667 67.980400 3.31 1.02 25.25 282.112 45 271.711 2.500 -65.501309
2014-03-23 19:39:42 20140323_0190.fits(obstype=survey 181.733667 67.980400 3.47 1.11 -73.81 281.179 44 271.711 2.500 -65.501309
2014-03-23 19:39:47 20140323_0191.fits(obstype=survey 181.733667 67.980400 3.35 1.08 21.54 279.864 45 271.711 2.500 -65.501309
